rental_ym,day_type,station_name,gender,age_group,total_rides,avg_distance_km,avg_duration_min,avg_speed_kmh,avg_exercise,avg_co2
202302,Weekday,"2372. 대치역 사거리",F,~10대,21,0,208.5,0,544.155,5.37
202302,Weekday,"457. 종로꽃시장 입구 옆",NULL,70대이상,10,0,120,0,296.66,2.7
202302,Weekday,"2372. 대치역 사거리",F,기타,7,0,72,0,110.86,1.17
202302,Weekday,"457. 종로꽃시장 입구 옆",NULL,~10대,1,0,16,0,54.8,0.38
202302,Weekday,"2372. 대치역 사거리",M,20대,37,0,424.5,0,1570.78,12.704999999999998
202302,Weekday,"2372. 대치역 사거리",M,30대,39,0,354.5,0,812.5949999999999,6.575
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",NULL,~10대,1,0,27,0,71.28,0.84
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",NULL,기타,16,0,116.33333333333333,0,328.78333333333336,2.953333333333333
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",F,20대,38,0,379.5,0,794.115,9.425
202302,Weekday,"2372. 대치역 사거리",M,60대,10,0,173,0,843.685,7.640000000000001
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",F,30대,38,0,264,0,632.84,6.35
202302,Weekday,"2372. 대치역 사거리",M,~10대,19,0,280,0,999.4499999999999,9.055
202302,Weekday,"2372. 대치역 사거리",M,기타,21,0,427,0,1653.575,14.610000000000001
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",F,40대,10,0,145.5,0,397.64,3.7249999999999996
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",F,~10대,3,0,16.5,0,30.845,0.385
202302,Weekday,"457. 종로꽃시장 입구 옆",F,50대,18,0,410,0,739.97,7.61
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,20대,70,0,812,0,2074.665,16.855
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,30대,116,0,1993.5,0,4516.245,35.885
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,40대,108,0,1030.5,0,3482.045,26.154999999999998
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,50대,62,0,881,0,2169.105,17.825
202302,Weekday,"2372. 대치역 사거리",NULL,60대,10,0,139,0,497.83,4.53
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,60대,13,0,152.5,0,518.0649999999999,4.39
202301,Weekend,"2231. 삼성타운(삼성생명) A동 맞은편",M,기타,13,0,438.5,0,615.375,5.24
